keyword   	:	float     
identifier	:	convertFtoC
keyword   	:	float     
identifier	:	f         
separator 	:	{         
keyword   	:	float     
identifier	:	c         
operator  	:	=         
separator 	:	(         
real      	:	5.0       
operator  	:	/         
real      	:	9.0       
separator 	:	)         
operator  	:	*         
separator 	:	(         
identifier	:	f         
operator  	:	-         
int       	:	32        
separator 	:	);        
keyword   	:	return    
identifier	:	c         
separator 	:	}         
separator 	:	$$        
identifier	:	put       
identifier	:	convertFtoC
real      	:	100.00    
separator 	:	))        
separator 	:	$$        
